"word_0";"dist_0";"word_1";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"речь";"1";"идти";"0.11731521692393689";"0.11547826158833481";"0.11917745623076849";"36.432102846314784";"35.86163852407658";"37.01041907612602";"13642.0";"13428.389648799513";"13858.550497794913"
"дело";"1";"идти";"0.03973857333276003";"0.038630912541172555";"0.04087664358190779";"12.340767281397202";"11.996784523353888";"12.694193660774438";"4621.0";"4492.19566485025";"4753.340498922147"
"речь";"-1";"идти";"0.036651330782130113";"0.035586529235450734";"0.037746745760385156";"11.38202773280997";"11.051354862941007";"11.7222075679038";"4262.0";"4138.179552144388";"4389.380330746388"
"дождь";"-1";"идти";"0.018205271531151913";"0.017452607542102667";"0.018989767682314394";"5.653625694593784";"5.419886776687349";"5.897250053062306";"2117.0";"2029.4764680334085";"2208.2251349379294"
"время";"1";"идти";"0.017852689512834845";"0.017107376057321457";"0.018629858425544005";"5.54413176286098";"5.312675544511989";"5.785480656032583";"2076.0";"1989.3312248256257";"2166.3730870143845"
"человек";"1";"идти";"0.011127832480543493";"0.01054084232539047";"0.011747122403978717";"3.455735308835312";"3.2734462054858753";"3.6480550672934755";"1294.0";"1225.7418498080308";"1366.0141287466652"
"дорога";"1";"идти";"0.008143784666981985";"0.007643213154187731";"0.008676853104000879";"2.529042764657682";"2.3735908692068155";"2.6945865417636687";"947.0";"888.7910416347204";"1008.9878631987423"
"разговор";"1";"идти";"0.008066388614180678";"0.007568258803325768";"0.008597020462814929";"2.5050075113504815";"2.3503138835694593";"2.669794608795031";"938.0";"880.0749749447369";"999.704524518434"
"работа";"1";"идти";"0.007937395192845165";"0.0074433616550116065";"0.00846393929104924";"2.46494875583848";"2.31152722083377";"2.628466407187398";"923.0";"865.5513100530246";"984.2291804596609"
"жизнь";"1";"идти";"0.007361224577546545";"0.00688591705634247";"0.007869080726695038";"2.286019647884874";"2.1384134553535064";"2.4437337786008198";"856.0";"800.7288648967841";"915.0560523037325"
"снег";"-1";"идти";"0.0071462355419873586";"0.006678106174925171";"0.007646927741312584";"2.219255055364872";"2.0738780301725845";"2.374744429876204";"831.0";"776.5635765511736";"889.2229923985338"
"дело";"-1";"идти";"0.00690544782216107";"0.006445489966474445";"0.007397984418947586";"2.1444787117424697";"2.0016393398116286";"2.297435373462957";"803.0";"749.5138007514809";"860.27461815732"
"человек";"-1";"идти";"0.006174485101259836";"0.005740264811622365";"0.006641332426680505";"1.9174790971744624";"1.7826324961552116";"2.062457985840545";"718.0";"667.5066936195067";"772.2873412365425"
